Donor Type,Donor Age,Donor State of Residence,All Donors - All Genders,All Donors - Male,All Donors - Female,All Donors - Unknown,Kidney - All Genders,Kidney - Male,Kidney - Female,Kidney - Unknown,Liver - All Genders,Liver - Male,Liver - Female,Liver - Unknown,Heart - All Genders,Heart - Male,Heart - Female,Heart - Unknown,Pancreas - All Genders,Pancreas - Male,Pancreas - Female,Pancreas - Unknown,Lung - All Genders,Lung - Male,Lung - Female,Lung - Unknown,Intestine - All Genders,Intestine - Male,Intestine - Female,Intestine - Unknown
,,Nevada,980,426,554,0,933,400,533,0,39,19,20,0,0,0,0,0,0,0,0,0,8,7,1,0,0,0,0,0
,,New Hampshire,894,373,521,0,830,334,496,0,59,35,24,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0
,,New Jersey,5532,2175,3357,0,5304,2072,3232,0,224,100,124,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0
,,New Mexico,869,360,509,0,836,345,491,0,32,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
,,New York,11562,4893,6669,0,10641,4451,6190,0,904,432,472,0,0,0,0,0,2,0,2,0,16,10,6,0,0,0,0,0
,,North Carolina,3923,1564,2359,0,3777,1497,2280,0,136,61,75,0,1,1,0,0,0,0,0,0,9,5,4,0,0,0,0,0
,,North Dakota,565,223,342,0,545,213,332,0,19,9,10,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
,,Ohio,7057,2793,4264,0,6822,2697,4125,0,223,89,134,0,1,1,0,0,3,1,2,0,9,5,4,0,0,0,0,0
,,Oklahoma,1273,517,756,0,1240,499,741,0,30,16,14,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0
,,Oregon,1782,696,1086,0,1728,667,1061,0,42,20,22,0,4,3,1,0,0,0,0,0,8,6,2,0,0,0,0,0
,,Pennsylvania,7141,2884,4257,0,6572,2634,3938,0,554,239,315,0,0,0,0,0,4,2,2,0,12,10,2,0,1,0,1,0
,,Puerto Rico,858,353,505,0,816,332,484,0,41,20,21,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rhode Island,727,281,446,0,686,259,427,0,37,19,18,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0
,,South Carolina,1724,639,1085,0,1682,619,1063,0,38,16,22,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0
,,South Dakota,554,230,324,0,536,220,316,0,18,10,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,State unassigned,4658,2244,2413,1,4335,2062,2272,1,286,157,129,0,6,4,2,0,4,1,3,0,28,20,8,0,1,1,0,0
,,Tennessee,2837,1082,1755,0,2770,1047,1723,0,63,33,30,0,0,0,0,0,1,0,1,0,4,2,2,0,0,0,0,0
,,Texas,10795,4136,6659,0,10504,4000,6504,0,262,122,140,0,2,1,1,0,1,0,1,0,25,13,12,0,2,0,2,0
,,Utah,1769,802,967,0,1700,770,930,0,63,28,35,0,1,1,0,0,0,0,0,0,5,3,2,0,0,0,0,0
,,Vermont,400,159,241,0,365,141,224,0,34,17,17,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,,Virginia,5033,2108,2925,0,4734,1940,2794,0,285,158,127,0,1,0,1,0,1,0,1,0,10,9,1,0,3,1,2,0
,,Washington,2945,1114,1831,0,2868,1077,1791,0,67,34,33,0,3,0,3,0,0,0,0,0,7,3,4,0,0,0,0,0
,,West Virginia,826,309,517,0,745,269,476,0,78,39,39,0,0,0,0,0,2,1,1,0,2,1,1,0,0,0,0,0
,,Wisconsin,3981,1565,2416,0,3873,1520,2353,0,97,41,56,0,0,0,0,0,5,3,2,0,10,3,7,0,0,0,0,0
,,Wyoming,267,109,158,0,251,101,150,0,14,7,7,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
,< 1 Year,All Donor States of Residence,2,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Ohio,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Oklahoma,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1-5 Years,All Donor States of Residence,2,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Pennsylvania,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,State unassigned,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,6-10 Years,All Donor States of Residence,6,3,3,0,2,1,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,California,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Connecticut,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Florida,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Maryland,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Missouri,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,New York,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,11-17 Years,All Donor States of Residence,65,28,37,0,45,20,25,0,20,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,California,4,3,1,0,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,District of Columbia,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Georgia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Illinois,8,4,4,0,6,4,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Indiana,3,0,3,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Iowa,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Kentucky,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Maryland,4,1,3,0,2,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Michigan,2,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Minnesota,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Missouri,4,1,3,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,New Jersey,2,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,New York,4,3,1,0,2,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,North Dakota,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ohio,4,3,1,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Oklahoma,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Pennsylvania,2,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Puerto Rico,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,South Carolina,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,State unassigned,4,2,2,0,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Tennessee,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Texas,4,1,3,0,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Virginia,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Wisconsin,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,18-34 Years,All Donor States of Residence,54646,25623,29023,0,50885,23691,27194,0,3545,1798,1747,0,17,8,9,0,23,11,12,0,165,110,55,0,27,13,14,0
,,Alabama,893,398,495,0,880,390,490,0,11,7,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Alaska,108,46,62,0,101,42,59,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Arizona,1103,501,602,0,1044,469,575,0,53,28,25,0,1,0,1,0,0,0,0,0,5,4,1,0,0,0,0,0
,,Arkansas,386,181,205,0,369,173,196,0,17,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,California,5948,2731,3217,0,5443,2475,2968,0,453,222,231,0,5,3,2,0,0,0,0,0,46,30,16,0,1,1,0,0
,,Colorado,828,425,403,0,728,366,362,0,95,55,40,0,0,0,0,0,0,0,0,0,4,3,1,0,1,1,0,0
,,Connecticut,555,258,297,0,505,230,275,0,50,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Delaware,146,60,86,0,134,55,79,0,12,5,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,District of Columbia,221,110,111,0,207,106,101,0,14,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Florida,1874,901,973,0,1804,866,938,0,65,34,31,0,1,1,0,0,0,0,0,0,4,0,4,0,0,0,0,0
,,Georgia,1335,576,759,0,1283,557,726,0,50,17,33,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
,,Hawaii,156,67,89,0,144,63,81,0,12,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Idaho,214,96,118,0,202,90,112,0,11,6,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Illinois,3259,1552,1707,0,3017,1433,1584,0,233,114,119,0,0,0,0,0,2,1,1,0,0,0,0,0,11,6,5,0
,,Indiana,1049,490,559,0,1022,476,546,0,23,12,11,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,2,0
,,Iowa,532,260,272,0,502,246,256,0,28,14,14,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0
,,Kansas,350,150,200,0,335,142,193,0,13,6,7,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
,,Kentucky,615,278,337,0,593,265,328,0,21,12,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,Louisiana,778,353,425,0,749,337,412,0,27,15,12,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
,,Maine,194,97,97,0,163,79,84,0,27,15,12,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0
,,Maryland,1471,670,801,0,1351,596,755,0,120,74,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Massachusetts,1230,609,621,0,1102,535,567,0,113,65,48,0,0,0,0,0,1,0,1,0,13,9,4,0,1,0,1,0
,,Michigan,2168,1014,1154,0,2062,960,1102,0,105,54,51,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,,Minnesota,1585,774,811,0,1475,721,754,0,99,47,52,0,1,0,1,0,8,2,6,0,5,4,1,0,3,2,1,0
,,Mississippi,352,164,188,0,334,157,177,0,14,6,8,0,1,0,1,0,0,0,0,0,3,1,2,0,0,0,0,0
,,Missouri,892,399,493,0,858,384,474,0,33,14,19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,,Montana,143,72,71,0,128,60,68,0,14,11,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,,Nebraska,285,137,148,0,262,123,139,0,21,13,8,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
,,Nevada,344,160,184,0,319,146,173,0,20,9,11,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0
,,New Hampshire,202,98,104,0,180,82,98,0,21,15,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,New Jersey,1617,796,821,0,1503,740,763,0,113,55,58,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,,New Mexico,257,116,141,0,248,112,136,0,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,New York,3913,1942,1971,0,3467,1720,1747,0,439,217,222,0,0,0,0,0,0,0,0,0,7,5,2,0,0,0,0,0
,,North Carolina,1324,604,720,0,1256,573,683,0,68,31,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,North Dakota,174,89,85,0,167,83,84,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Ohio,2301,1034,1267,0,2186,991,1195,0,113,42,71,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
,,Oklahoma,387,184,203,0,370,173,197,0,14,9,5,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0
,,Oregon,505,231,274,0,478,218,260,0,23,10,13,0,2,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0
,,Pennsylvania,2209,1018,1191,0,1935,884,1051,0,266,128,138,0,0,0,0,0,3,2,1,0,5,5,0,0,1,0,1,0
,,Puerto Rico,366,180,186,0,339,167,172,0,27,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Rhode Island,225,105,120,0,205,94,111,0,17,9,8,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0
,,South Carolina,580,231,349,0,562,222,340,0,16,7,9,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
,,South Dakota,149,67,82,0,140,62,78,0,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,State unassigned,1842,1067,775,0,1645,948,697,0,181,105,76,0,1,1,0,0,0,0,0,0,14,12,2,0,1,1,0,0
,,Tennessee,1075,462,613,0,1040,439,601,0,32,21,11,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0
,,Texas,3860,1675,2185,0,3715,1608,2107,0,133,63,70,0,1,0,1,0,1,0,1,0,10,4,6,0,1,0,1,0
,,Utah,684,353,331,0,645,334,311,0,38,18,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,,Vermont,117,61,56,0,102,51,51,0,15,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Virginia,1532,736,796,0,1409,672,737,0,120,63,57,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,2,0
,,Washington,829,368,461,0,786,347,439,0,37,19,18,0,1,0,1,0,0,0,0,0,5,2,3,0,0,0,0,0
,,West Virginia,273,121,152,0,231,96,135,0,40,24,16,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
,,Wisconsin,1127,516,611,0,1084,498,586,0,39,17,22,0,0,0,0,0,2,2,0,0,3,0,3,0,0,0,0,0
,,Wyoming,84,40,44,0,76,35,41,0,7,4,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,35-49 Years,All Donor States of Residence,71426,27193,44233,0,68367,25774,42593,0,2774,1254,1520,0,18,9,9,0,33,10,23,0,251,150,101,0,9,5,4,0
,,Alabama,1142,412,730,0,1132,405,727,0,7,5,2,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0
,,Alaska,176,69,107,0,173,68,105,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
,,Arizona,1346,512,834,0,1264,468,796,0,62,30,32,0,1,1,0,0,0,0,0,0,19,13,6,0,0,0,0,0
,,Arkansas,461,162,299,0,450,157,293,0,6,3,3,0,0,0,0,0,1,0,1,0,4,2,2,0,0,0,0,0
,,California,7194,2732,4462,0,6803,2548,4255,0,323,145,178,0,3,0,3,0,1,0,1,0,64,39,25,0,0,0,0,0
,,Colorado,1262,511,751,0,1190,480,710,0,71,30,41,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,,Connecticut,860,320,540,0,811,300,511,0,48,19,29,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
,,Delaware,223,86,137,0,210,79,131,0,13,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,District of Columbia,166,70,96,0,162,67,95,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Florida,2636,1027,1609,0,2577,1003,1574,0,47,20,27,0,0,0,0,0,0,0,0,0,12,4,8,0,0,0,0,0
,,Georgia,1839,650,1189,0,1803,636,1167,0,32,12,20,0,1,1,0,0,0,0,0,0,3,1,2,0,0,0,0,0
,,Hawaii,194,87,107,0,191,85,106,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Idaho,351,117,234,0,338,112,226,0,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Illinois,3384,1331,2053,0,3210,1253,1957,0,163,71,92,0,0,0,0,0,5,1,4,0,5,4,1,0,6,3,3,0
,,Indiana,1467,542,925,0,1430,523,907,0,30,16,14,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,0,0
,,Iowa,855,319,536,0,834,308,526,0,17,8,9,0,0,0,0,0,1,0,1,0,4,3,1,0,0,0,0,0
,,Kansas,478,189,289,0,462,177,285,0,13,9,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kentucky,870,313,557,0,851,304,547,0,18,9,9,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
,,Louisiana,770,294,476,0,761,288,473,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
,,Maine,370,133,237,0,343,121,222,0,24,12,12,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0
,,Maryland,1836,659,1177,0,1742,609,1133,0,91,49,42,0,0,0,0,0,1,0,1,0,3,1,2,0,0,0,0,0
,,Massachusetts,1844,717,1127,0,1693,650,1043,0,136,61,75,0,0,0,0,0,0,0,0,0,15,6,9,0,0,0,0,0
,,Michigan,2842,1063,1779,0,2752,1027,1725,0,86,34,52,0,1,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0
,,Minnesota,2208,894,1314,0,2108,846,1262,0,93,45,48,0,1,0,1,0,10,5,5,0,5,3,2,0,0,0,0,0
,,Mississippi,470,176,294,0,456,174,282,0,14,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Missouri,1057,404,653,0,1030,391,639,0,24,11,13,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0
,,Montana,271,102,169,0,262,98,164,0,8,3,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Nebraska,463,181,282,0,446,173,273,0,14,5,9,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
,,Nevada,414,182,232,0,397,173,224,0,15,8,7,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
,,New Hampshire,410,169,241,0,380,150,230,0,27,16,11,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
,,New Jersey,2374,894,1480,0,2295,863,1432,0,76,29,47,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0
,,New Mexico,392,146,246,0,374,137,237,0,18,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,New York,4727,1897,2830,0,4366,1732,2634,0,351,160,191,0,0,0,0,0,1,0,1,0,9,5,4,0,0,0,0,0
,,North Carolina,1719,631,1088,0,1655,605,1050,0,58,23,35,0,1,1,0,0,0,0,0,0,5,2,3,0,0,0,0,0
,,North Dakota,249,89,160,0,240,85,155,0,8,3,5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
,,Ohio,3159,1196,1963,0,3065,1154,1911,0,85,37,48,0,0,0,0,0,2,1,1,0,8,4,4,0,0,0,0,0
,,Oklahoma,573,209,364,0,560,204,356,0,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Oregon,781,284,497,0,761,272,489,0,16,9,7,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0
,,Pennsylvania,3236,1253,1983,0,3012,1165,1847,0,220,85,135,0,0,0,0,0,1,0,1,0,4,3,1,0,0,0,0,0
,,Puerto Rico,352,130,222,0,338,122,216,0,13,7,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,,Rhode Island,312,117,195,0,296,108,188,0,15,8,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,,South Carolina,791,274,517,0,770,264,506,0,19,8,11,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
,,South Dakota,245,105,140,0,238,100,138,0,7,5,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,State unassigned,1971,866,1105,0,1868,812,1056,0,87,44,43,0,4,3,1,0,3,1,2,0,11,7,4,0,0,0,0,0
,,Tennessee,1206,434,772,0,1181,424,757,0,25,10,15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
,,Texas,4633,1661,2972,0,4521,1613,2908,0,98,39,59,0,1,1,0,0,0,0,0,0,12,8,4,0,1,0,1,0
,,Utah,762,315,447,0,739,302,437,0,18,10,8,0,1,1,0,0,0,0,0,0,4,2,2,0,0,0,0,0
,,Vermont,180,61,119,0,166,56,110,0,13,4,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,,Virginia,2277,899,1378,0,2147,823,1324,0,121,68,53,0,0,0,0,0,0,0,0,0,9,8,1,0,0,0,0,0
,,Washington,1287,449,838,0,1261,437,824,0,22,11,11,0,2,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0
,,West Virginia,377,131,246,0,345,117,228,0,31,14,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
,,Wisconsin,1846,680,1166,0,1794,659,1135,0,46,19,27,0,0,0,0,0,1,0,1,0,6,2,4,0,0,0,0,0
,,Wyoming,118,49,69,0,114,47,67,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,50-64 Years,All Donor States of Residence,35926,12872,23054,0,35011,12444,22567,0,835,379,456,0,6,2,4,0,16,5,11,0,60,40,20,0,8,5,3,0
,,Alabama,514,206,308,0,512,205,307,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
,,Alaska,97,43,54,0,96,43,53,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Arizona,736,250,486,0,715,242,473,0,20,7,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,,Arkansas,209,71,138,0,205,69,136,0,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,California,3557,1335,2222,0,3440,1271,2169,0,96,48,48,0,1,1,0,0,0,0,0,0,19,15,4,0,1,0,1,0
,,Colorado,672,259,413,0,646,252,394,0,26,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Connecticut,618,238,380,0,598,231,367,0,20,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Delaware,93,27,66,0,92,27,65,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,District of Columbia,80,33,47,0,77,33,44,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,,Florida,1543,501,1042,0,1521,491,1030,0,18,8,10,0,0,0,0,0,2,1,1,0,3,1,2,0,0,0,0,0
,,Georgia,840,277,563,0,829,273,556,0,10,4,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
,,Hawaii,148,59,89,0,145,58,87,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Idaho,170,73,97,0,167,71,96,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Illinois,1608,597,1011,0,1563,572,991,0,40,21,19,0,0,0,0,0,1,1,0,0,1,0,1,0,3,3,0,0
,,Indiana,609,193,416,0,596,190,406,0,12,3,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
,,Iowa,445,164,281,0,440,162,278,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Kansas,245,83,162,0,242,81,161,0,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
,,Kentucky,321,104,217,0,321,104,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Louisiana,339,125,214,0,334,123,211,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
,,Maine,241,95,146,0,224,84,140,0,14,9,5,0,0,0,0,0,1,0,1,0,3,2,1,0,0,0,0,0
,,Maryland,950,348,602,0,918,329,589,0,32,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Massachusetts,1066,381,685,0,1008,352,656,0,52,23,29,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0
,,Michigan,1474,526,948,0,1449,511,938,0,21,13,8,0,0,0,0,0,0,0,0,0,3,1,2,0,1,1,0,0
,,Minnesota,1172,441,731,0,1138,429,709,0,31,12,19,0,1,0,1,0,2,1,1,0,1,0,1,0,1,0,1,0
,,Mississippi,179,47,132,0,175,47,128,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Missouri,503,172,331,0,500,169,331,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Montana,136,41,95,0,135,41,94,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Nebraska,270,99,171,0,265,97,168,0,4,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,,Nevada,205,78,127,0,200,75,125,0,4,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,,New Hampshire,260,96,164,0,248,92,156,0,11,4,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,,New Jersey,1401,444,957,0,1369,429,940,0,32,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,New Mexico,200,92,108,0,194,90,104,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
,,New York,2654,957,1697,0,2549,907,1642,0,105,50,55,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
